Location,1,2,3,4,5,6,7,8
A00,-78,-86,-70,-85,-77,-79,-77,-90
A00,-81.25,-86,-73.5,-88,-74.25,-84.25,-72.75,-93.25
A00,-85.25,-87.75,-81,-88.75,-77.5,-81.5,-75.25,-92
A00,-80.75,-89.5,-78.75,-93,-79,-80.25,-72.25,-95.33333333
A02,-71.5,-85,-72,-88,-77.5,-78,-67,-93.5
A02,-81,-85.5,-68.25,-88.5,-66.25,-81.75,-67.75,-88.5
A02,-78.25,-84,-66,-86.25,-69.5,-78.75,-67.25,-83.25
A02,-76.25,-90.75,-70.75,-84.25,-74.25,-82,-74,-85.25
A04,-69,-86,-64.75,-80.5,-68.25,-75.75,-77.75,-86.25
A04,-74.25,-81.75,-69.25,-85.5,-75,-87.5,-72.75,-90.25
A04,-74.25,-76.5,-73.5,-81.75,-73.75,-78.75,-70.25,-94
A04,-79.5,-81.5,-71.25,-90,-83.25,-85,-70.75,-90
A06,-67,-66.5,-67.5,-88.5,-73,-85.5,-71.25,-92
A06,-73,-70.75,-61.75,-87.25,-79.75,-90.5,-75,-91.75
A06,-71,-67.4,-59,-86.6,-73.6,-87.2,-72.4,-90.2
A06,-70.5,-66.5,-62,-88,-75.5,-86.75,-68.5,-90
A08,-73.66666667,-69,-72.66666667,-87.33333333,-77.66666667,-91.33333333,-72.5,-94
A08,-72.5,-69.5,-71,-94.25,-76,-94.66666667,-76.5,-92.33333333
A08,-66.5,-67,-77.75,-89,-80.25,-93.25,-74,-91.75
A08,-76.75,-65.75,-73,-87.25,-76.75,-87.5,-72.5,-90
B11,-79.25,-85,-71,-86.25,-74.25,-82.5,-68,-91
B11,-76,-80,-78,-91.75,-72.25,-81.25,-66.5,-90
B11,-77.25,-83.5,-67,-86,-80.75,-74.75,-71,-88
B11,-78.25,-83,-84,-91.5,-79,-81.75,-70.5,-91.66666667
B13,-75.33333333,-80.66666667,-66,-85,-79,-77.66666667,-63,-89
B13,-70.25,-86.25,-65,-83.75,-71.75,-80.25,-66,-88.75
B13,-75.25,-88.25,-65,-88.75,-76,-81.75,-66.25,-91
B13,-77.5,-88.75,-69.5,-87,-83.5,-82.75,-65,-91
B15,-79,-72.5,-65,-85.5,-70,-81,-68.5,-92.5
B15,-76.5,-73.75,-62.75,-90.5,-76.75,-85.5,-67.25,-90.66666667
B15,-70.5,-71.5,-59.75,-91.75,-75.25,-82,-68.25,-90
B15,-76.25,-73.75,-64.75,-83.75,-76.5,-81.25,-67,-88
B17,-73.66666667,-68.5,-64.33333333,-83.66666667,-71.66666667,-81,-74,-94
B17,-72.5,-72.25,-71,-89.75,-79,-86.5,-75.5,-85.75
B17,-70.25,-66.5,-64.5,-89,-81,-87,-70,-90
B17,-78.75,-67.25,-60.25,-90.25,-73,-83.75,-70,-87.5
C20,-81,-80,-72,-88,-71.5,-75.5,-77.5,-92.5
C20,-71.5,-82,-71,-81.5,-72,-79.5,-76,-84.5
