CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8,Direction,Output
-82,-90,-75,-84,-75,-76,-78,-96,North,a11
-80,-89,-75,-84,-71,-76,-80,-92,North,a11
-82,-90,-75,-85,-74,-75,-80,-91,North,a11
-80,-90,-75,-87,-70,-74,-80,-100,North,a11
-81,-88,-75,-86,-70,-76,-80,-93,North,a11
-81,-90,-76,-85,-71,-75,-80,-91,North,a11
-80,-88,-75,-87,-70,-76,-79,-91,North,a11
-81,-87,-76,-85,-71,-73,-81,-100,North,a11
-82,-88,-74,-85,-70,-74,-78,-93,North,a11
-81,-100,-75,-100,-69,-76,-81,-91,North,a11
-81,-88,-75,-88,-71,-75,-80,-91,North,a11
-82,-90,-76,-88,-71,-76,-82,-89,North,a11
-82,-90,-76,-91,-71,-76,-80,-93,North,a11
-100,-89,-77,-87,-71,-75,-82,-91,North,a11
-81,-90,-76,-88,-71,-72,-81,-90,North,a11
-80,-89,-76,-88,-70,-75,-82,-100,North,a11
-81,-88,-76,-88,-70,-74,-80,-90,North,a11
-80,-88,-75,-86,-70,-76,-86,-91,North,a11
-80,-90,-75,-85,-70,-76,-82,-91,North,a11
-80,-90,-75,-84,-70,-76,-82,-92,North,a11
-79,-89,-75,-84,-68,-75,-82,-95,North,a11
-82,-93,-74,-85,-71,-74,-81,-94,North,a11
-81,-89,-75,-87,-71,-77,-82,-100,North,a11
-81,-88,-73,-85,-70,-75,-81,-100,North,a11
-79,-87,-76,-87,-69,-75,-82,-100,North,a11
-79,-87,-75,-85,-70,-75,-81,-88,North,a11
-80,-88,-74,-86,-70,-75,-81,-90,North,a11
-81,-89,-75,-85,-71,-75,-83,-90,North,a11
-81,-90,-75,-85,-70,-75,-81,-91,North,a11
-81,-100,-75,-84,-71,-76,-82,-91,North,a11
-80,-87,-75,-83,-69,-76,-82,-90,North,a11
-79,-87,-75,-87,-71,-76,-82,-91,North,a11
-81,-88,-75,-90,-70,-79,-82,-93,North,a11
-80,-92,-75,-88,-72,-77,-83,-91,North,a11
-81,-90,-76,-90,-76,-75,-84,-92,North,a11
-81,-90,-79,-90,-71,-76,-81,-91,North,a11
-81,-87,-76,-88,-70,-76,-82,-91,North,a11
-81,-90,-76,-89,-71,-76,-81,-89,North,a11
-82,-90,-74,-87,-71,-73,-83,-91,North,a11
-81,-90,-78,-86,-71,-76,-83,-92,North,a11
-80,-88,-76,-87,-70,-75,-81,-90,North,a11
-81,-90,-77,-89,-72,-80,-82,-91,North,a11
-81,-88,-76,-87,-71,-75,-79,-100,North,a11
-81,-86,-76,-86,-71,-76,-83,-92,North,a11
-80,-91,-75,-100,-72,-76,-100,-90,North,a11
-80,-86,-75,-87,-72,-76,-78,-100,North,a11
-100,-90,-75,-88,-73,-76,-79,-89,North,a11
-83,-87,-76,-87,-68,-76,-81,-91,North,a11
-80,-89,-75,-88,-73,-76,-82,-91,North,a11
-80,-89,-74,-100,-71,-76,-80,-90,North,a11
-71,-77,-72,-89,-73,-89,-66,-100,North,a13
-71,-77,-73,-88,-68,-89,-65,-100,North,a13
-72,-77,-72,-89,-66,-86,-65,-100,North,a13
-73,-77,-74,-90,-67,-91,-67,-100,North,a13
-74,-78,-74,-90,-70,-90,-66,-100,North,a13
-74,-76,-74,-100,-68,-88,-66,-100,North,a13
-72,-79,-73,-87,-66,-88,-67,-100,North,a13
-72,-78,-73,-88,-69,-88,-66,-100,North,a13
-72,-77,-72,-88,-70,-88,-66,-100,North,a13
-70,-76,-73,-87,-65,-89,-66,-100,North,a13
-71,-77,-74,-87,-68,-90,-67,-100,North,a13
-72,-78,-73,-87,-69,-90,-65,-100,North,a13
-71,-76,-72,-86,-67,-89,-65,-91,North,a13
-72,-77,-73,-86,-69,-89,-67,-100,North,a13
-73,-77,-73,-89,-67,-89,-66,-100,North,a13
-73,-78,-73,-88,-68,-86,-66,-100,North,a13
-70,-78,-73,-85,-70,-89,-66,-100,North,a13
-71,-75,-72,-86,-67,-87,-63,-100,North,a13
-72,-77,-73,-89,-74,-100,-66,-100,North,a13
-72,-76,-74,-88,-68,-90,-66,-100,North,a13
-71,-78,-73,-89,-69,-89,-66,-100,North,a13
-70,-77,-74,-91,-68,-87,-67,-100,North,a13
-71,-77,-72,-88,-68,-90,-66,-100,North,a13
-69,-78,-73,-86,-68,-88,-64,-100,North,a13
