Output,CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8
a11,-81,-90,-65,-81,-65,-89,-73,-1
a11,-77,-92,-69,-82,-64,-85,-70,-93
a11,-79,-93,-67,-79,-64,-92,-72,-94
a11,-75,-90,-68,-80,-65,-85,-69,-94
a11,-76,-92,-68,-79,-65,-89,-70,-96
a11,-75,-92,-71,-81,-63,-87,-70,-100
a11,-77,-90,-70,-83,-68,-90,-71,-100
a11,-74,-89,-71,-87,-73,-86,-68,-98
a11,-77,-88,-70,-87,-73,-83,-70,-94
a11,-73,-89,-71,-87,-73,-76,-77,-91
a11,-77,-91,-71,-85,-74,-88,-76,-96
a11,-75,-93,-70,-84,-70,-84,-75,-96
a11,-81,-88,-71,-82,-68,-90,-78,-95
a11,-83,-100,-71,-83,-68,-85,-74,-100
a11,-89,-89,-71,-86,-65,-83,-81,-89
a11,-87,-90,-74,-88,-66,-83,-76,-91
a11,-89,-89,-76,-91,-67,-83,-76,-93
a11,-91,-90,-73,-88,-65,-83,-76,-90
a11,-88,-90,-72,-86,-66,-85,-75,-90
a11,-82,-89,-74,-85,-66,-83,-73,-89
a11,-100,-89,-78,-87,-66,-82,-72,-90
a11,-73,-86,-72,-80,-66,-96,-71,-100
a11,-71,-89,-67,-83,-67,-71,-72,-88
a11,-70,-80,-66,-92,-69,-76,-67,-84
a11,-74,-88,-66,-96,-72,-71,-76,-89
a11,-77,-85,-65,-88,-67,-80,-69,-95
a11,-85,-88,-66,-86,-66,-79,-69,-94
a11,-85,-87,-66,-83,-66,-76,-68,-93
a11,-87,-88,-68,-86,-67,-81,-68,-93
a11,-86,-92,-68,-88,-66,-84,-67,-100
a11,-77,-94,-68,-83,-66,-81,-66,-93
a11,-78,-94,-68,-83,-63,-82,-67,-91
a11,-77,-94,-71,-82,-67,-83,-66,-91
a11,-79,-100,-67,-82,-66,-77,-66,-92
a11,-78,-93,-69,-83,-64,-78,-66,-91
a11,-76,-94,-65,-84,-63,-75,-67,-100
a11,-76,-92,-66,-86,-67,-73,-67,-94
a11,-77,-90,-66,-84,-68,-74,-68,-94
a11,-77,-89,-63,-85,-69,-75,-69,-94
a11,-76,-100,-63,-88,-67,-73,-67,-93
a11,-71,-90,-64,-86,-69,-75,-71,-93
a11,-76,-90,-62,-83,-69,-77,-70,-94
a11,-73,-90,-64,-86,-68,-75,-68,-93
a11,-76,-90,-63,-86,-66,-74,-68,-100
a11,-76,-90,-64,-89,-67,-73,-68,-92
a11,-78,-88,-64,-91,-66,-74,-67,-93
a11,-78,-85,-65,-93,-64,-72,-68,-100
a11,-76,-84,-64,-90,-68,-73,-68,-97
a11,-77,-86,-65,-93,-67,-72,-66,-96
a11,-77,-85,-65,-94,-65,-71,-67,-96
a11,-82,-86,-75,-89,-77,-82,-70,-92
a11,-83,-86,-75,-100,-78,-79,-68,-93
a11,-83,-86,-76,-97,-79,-80,-68,-93
a11,-80,-84,-72,-92,-75,-83,-71,-94
a11,-65,-76,-63,-82,-75,-72,-61,-84
a11,-68,-76,-59,-81,-75,-71,-62,-86
a11,-68,-76,-64,-81,-72,-71,-60,-86
a11,-69,-77,-63,-81,-72,-71,-61,-85
a11,-67,-74,-63,-79,-73,-74,-64,-85
a11,-67,-78,-58,-77,-73,-75,-66,-82
a11,-67,-77,-60,-77,-76,-73,-65,-83
a11,-66,-77,-61,-75,-77,-73,-66,-81
a11,-66,-79,-59,-79,-74,-76,-67,-81
a11,-66,-78,-61,-77,-76,-76,-66,-81
a11,-66,-77,-61,-77,-76,-74,-67,-81
a11,-66,-77,-60,-78,-78,-76,-66,-83
a11,-67,-80,-60,-77,-73,-77,-66,-83
a11,-67,-79,-60,-76,-74,-75,-65,-83
a11,-66,-80,-60,-79,-72,-72,-66,-82
a11,-66,-78,-61,-78,-73,-75,-66,-82
a11,-67,-77,-60,-75,-74,-75,-66,-79
a11,-66,-75,-60,-80,-77,-75,-68,-82
a11,-65,-77,-63,-78,-75,-72,-65,-81
a11,-67,-76,-59,-76,-70,-70,-63,-82
a11,-65,-77,-60,-76,-71,-71,-63,-80
a11,-66,-77,-60,-76,-70,-73,-64,-82
a11,-67,-76,-61,-78,-80,-71,-66,-80
a11,-70,-79,-62,-89,-69,-73,-60,-83
a11,-67,-79,-62,-80,-74,-77,-65,-82
a11,-67,-79,-58,-81,-79,-77,-65,-82
a11,-67,-80,-62,-83,-76,-77,-65,-81
a11,-68,-77,-62,-85,-80,-76,-66,-78
a11,-68,-78,-61,-82,-79,-78,-66,-81
a11,-68,-80,-62,-81,-80,-75,-70,-83
a11,-67,-79,-60,-81,-78,-82,-66,-81
a11,-68,-81,-62,-77,-76,-77,-64,-81
a11,-67,-77,-61,-77,-76,-73,-66,-81
a11,-66,-77,-62,-78,-74,-77,-66,-82
a11,-68,-79,-62,-80,-76,-82,-67,-80
a11,-67,-80,-63,-77,-77,-77,-64,-82
a11,-67,-80,-63,-78,-76,-76,-64,-83
a11,-66,-76,-63,-83,-76,-77,-65,-82
a11,-67,-78,-63,-82,-75,-75,-65,-82
a11,-66,-76,-63,-81,-78,-76,-66,-82
a11,-66,-77,-64,-80,-78,-75,-66,-83
a11,-67,-78,-61,-82,-79,-75,-66,-81
a11,-69,-78,-63,-81,-69,-80,-63,-81
a11,-72,-77,-65,-83,-80,-79,-65,-80
a11,-69,-86,-65,-79,-70,-90,-64,-80
a11,-72,-83,-65,-79,-70,-82,-67,-80
a11,-70,-80,-68,-75,-64,-75,-64,-84
a11,-82,-81,-59,-79,-67,-72,-64,-84
a11,-76,-85,-63,-80,-68,-70,-67,-83
a11,-77,-85,-65,-80,-68,-71,-68,-83
a11,-73,-82,-63,-80,-66,-72,-68,-82
a11,-75,-81,-65,-78,-66,-71,-66,-82
a11,-75,-83,-64,-78,-65,-72,-67,-80
a11,-76,-82,-64,-80,-66,-72,-67,-79
a11,-76,-83,-63,-80,-65,-70,-66,-81
a11,-76,-83,-65,-80,-64,-72,-68,-82
a11,-77,-83,-66,-79,-65,-71,-68,-81
a11,-78,-82,-67,-77,-65,-70,-66,-83
a11,-78,-84,-68,-77,-63,-71,-69,-81
a11,-79,-83,-67,-75,-65,-70,-69,-82
a11,-79,-83,-67,-75,-62,-70,-67,-81
a11,-79,-83,-67,-79,-63,-70,-68,-82
a11,-79,-83,-66,-78,-66,-71,-67,-81
a11,-79,-82,-67,-78,-66,-69,-65,-83
a11,-80,-83,-66,-77,-65,-71,-65,-81
a11,-80,-84,-67,-77,-62,-70,-67,-81
a11,-79,-84,-67,-77,-65,-70,-62,-81
a11,-79,-83,-65,-76,-65,-71,-65,-81
a11,-79,-84,-67,-75,-66,-70,-67,-82
a11,-74,-85,-69,-78,-67,-71,-67,-81
a11,-77,-84,-65,-80,-64,-72,-66,-83
a11,-76,-83,-64,-78,-64,-71,-66,-82
a11,-77,-84,-64,-78,-65,-72,-66,-82
a11,-77,-82,-65,-77,-65,-70,-67,-82
a11,-81,-77,-63,-78,-66,-71,-69,-82
a11,-67,-82,-71,-82,-61,-82,-66,-84
a11,-71,-84,-60,-77,-70,-76,-65,-81
a11,-73,-78,-65,-79,-64,-74,-64,-82
a11,-72,-83,-70,-79,-64,-73,-63,-83
a11,-72,-84,-70,-82,-65,-73,-63,-81
a11,-73,-83,-67,-79,-66,-73,-63,-83
a11,-73,-83,-67,-80,-66,-73,-65,-82
a11,-70,-84,-70,-83,-64,-73,-64,-82
a11,-75,-81,-68,-85,-69,-71,-64,-84
a11,-74,-81,-69,-82,-69,-71,-62,-87
a11,-73,-81,-70,-82,-69,-70,-62,-84
a11,-73,-82,-70,-82,-64,-71,-63,-85
a11,-73,-81,-70,-81,-69,-71,-62,-85
a11,-74,-78,-71,-84,-69,-72,-61,-84
a11,-73,-81,-69,-81,-72,-71,-62,-84
